,Title[1][2],Developer(s),Publisher(s)[1][2][3],Publisher(s)[1][2][3],Release date,Release date
139,Conan: The Mysteries of Time,Eastridge Technology,Mindscape,Unreleased,February 1991,Unreleased
140,Conflict,Vic Tokai,Vic Tokai,Unreleased,March 1990,Unreleased
141,Conquest of the Crystal Palace,Quest,Asmik,Unreleased,November 1990,Unreleased
142,Contra (NA)Probotector (EU),Konami,Konami,Konami,February 1988,"December 28, 1990"
143,Contra Force,Konami,Konami,Unreleased,September 1992,Unreleased
144,Cool World,Ocean Software,Ocean Software,Unreleased,June 1993,Unreleased
145,Cowboy Kid,Pixel,Romstar,Unreleased,January 1992,Unreleased
146,Crackout,Konami,Unreleased,Palcom Software,Unreleased,1991
147,Crash 'n the Boys: Street Challenge,Technōs Japan,Technōs Japan,Unreleased,October 1992,Unreleased
148,Crystalis,SNK,SNK,Unreleased,July 1990,Unreleased
149,Cyberball,Richard Seaborne,Jaleco,Unreleased,January 1992,Unreleased
150,Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,Unreleased,December 1989,Unreleased
151,Dance Aerobics,Human Entertainment,Nintendo,Unreleased,March 1989,Unreleased
152,Danny Sullivan's Indy Heat,Rare,Tradewest,Tradewest,August 1992,1992
153,Darkman,Painting by Numbers,Ocean Software,Ocean Software,October 1991,1991
154,Dash Galaxy in the Alien Asylum,Beam Software,Data East,Unreleased,February 1990,Unreleased
155,Day Dreamin' Davey,Sculptured Software,HAL America,Unreleased,June 1992,Unreleased
156,Days of Thunder,Beam Software,Mindscape,Mindscape,October 1990,"April 25, 1991"
157,Deadly Towers,"Lenar, Tamtex",Brøderbund,Unreleased,September 1987,Unreleased
158,Defender II,Vid Kidz,HAL America,Unreleased,July 1988,Unreleased
159,Defender of the Crown,Beam Software,Ultra Games,Palcom Software,July 1989,"July 25, 1991"
160,Defenders of Dynatron City,Lucasfilm Games,JVC Musical Industries,Unreleased,July 1992,Unreleased
161,Déjà Vu,Kemco,Kemco*Seika,Kemco,December 1990,"September 24, 1992"
162,Demon Sword,TOSE,Taito,Unreleased,January 1990,Unreleased
163,Desert Commander,Kemco,Kemco*Seika,Unreleased,June 1989,Unreleased
164,Destination Earthstar,Imagineering,Acclaim Entertainment,Unreleased,February 1990,Unreleased
165,Destiny of an Emperor,Capcom,Capcom,Unreleased,September 1990,Unreleased
166,Devil World,Nintendo Research & Development 1,Unreleased,Nintendo,Unreleased,"July 15, 1987"
167,Dick Tracy,Realtime Associates,Bandai,Unreleased,August 1990,Unreleased
168,Die Hard,Pack-In-Video,Activision,Activision,January 1992,January 1992
169,Dig Dug II,Namco,Bandai,Unreleased,December 1989,Unreleased
